name,experience,salary,region
Продуктовый аналитик,От 1 года до 3 лет,Не указана,Москва
Программист баз данных,От 1 года до 3 лет,Не указана,Москва
Инженер по сопровождению,От 1 года до 3 лет,Не указана,Москва
Middle + / Senior QA-инженер (автоматизация),От 3 до 6 лет,Не указана,Москва
Ведущий веб-программист,От 1 года до 3 лет,Не указана,Москва
Главный специалист (id 505),От 3 до 6 лет,Не указана,Санкт-Петербург
Python developer,От 3 до 6 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Пермь
Python разработчик,От 3 до 6 лет,105000 RUR,Рыбинск
"Full-stack разработчик (React, Node.js)",От 1 года до 3 лет,70000 RUR,Санкт-Петербург
Senior/Middle Machine Learning Engineer,От 3 до 6 лет,150000 RUR,Санкт-Петербург
Fullstack (middle) Developer,От 3 до 6 лет,150000 RUR,Москва
Senior Frontend Developer,Более 6 лет,Не указана,Москва
Менеджер по продукту в крупную it-компанию,От 1 года до 3 лет,100000 RUR,Киров (Кировская область)
Python Developer (Удалённо),Более 6 лет,250000 RUR,Екатеринбург
Разработчик витрин данных / PL/SQL,От 1 года до 3 лет,Не указана,Нижний Новгород
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Екатеринбург
Front-end разработчик (React),От 3 до 6 лет,Не указана,Чебоксары
Разработчик SQL,От 1 года до 3 лет,Не указана,Новосибирск
DevOps инженер,От 1 года до 3 лет,80000 RUR,Ярославль
Middle+/Senior Python Developer (Django),От 1 года до 3 лет,Не указана,Москва
Инженер Linux,От 1 года до 3 лет,Не указана,Екатеринбург
Тестировщик программного продукта,Более 6 лет,Не указана,Москва
Data Scientist (Middle/Senior),От 3 до 6 лет,Не указана,Москва
Инженер-программист,От 1 года до 3 лет,70000 RUR,Калуга
Веб-аналитик,От 1 года до 3 лет,Не указана,Жуковский
Аналитик,От 1 года до 3 лет,Не указана,Москва
Программист (робототехника),От 1 года до 3 лет,40000 RUR,Омск
Программист Python,От 1 года до 3 лет,Не указана,Екатеринбург
Бизнес-аналитик,От 1 года до 3 лет,Не указана,Красноярск
Инженер - разработчик (алгоритмы и программы анализа сигналов),От 1 года до 3 лет,70000 RUR,Санкт-Петербург
"Инженер-программист Embedded решений (C++, Raspberry Pi, STM32, Node.js)",От 1 года до 3 лет,Не указана,Москва
Инженер по тестированию (автотестирование),От 1 года до 3 лет,150000 RUR,Екатеринбург
Продуктовый аналитик middle+/senior,От 3 до 6 лет,200000 RUR,Москва
Python разработчик,От 3 до 6 лет,Не указана,Екатеринбург
Fullstack QA инженер,От 3 до 6 лет,Не указана,Москва
Программист микроконтроллеров (STM32),От 1 года до 3 лет,Не указана,Москва
Специалист по исследованию стороннего ПО (Информационная безопасность),От 1 года до 3 лет,Не указана,Москва
.NET разработчик,От 1 года до 3 лет,70000 RUR,Санкт-Петербург
Тестировщик ПО,От 1 года до 3 лет,100000 RUR,Москва
Системный администратор в компанию разработки ПО,От 3 до 6 лет,110000 RUR,Москва
QA-инженер по автоматизации тестирования (встроенная отказоустойчивость PostgreSQL),От 3 до 6 лет,180000 RUR,Москва
Специалист технической поддержки (L2) (ночная смена),От 1 года до 3 лет,Не указана,Москва
Инженер-программист,Нет опыта,45000 RUR,Ярославль
Продуктовый аналитик,От 3 до 6 лет,None RUR,Санкт-Петербург
Middle Node.JS-developer (remote),От 3 до 6 лет,150000 RUR,Санкт-Петербург
QA Automation Engineer Python (Проект импортозамещения),От 3 до 6 лет,Не указана,Москва
Ведущий разработчик C/C++,От 3 до 6 лет,Не указана,Москва
Разработчик витрин данных / PL/SQL,От 1 года до 3 лет,Не указана,Москва
Аналитик угроз (SOC),От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Мурманск
Senior Data Engineer (remote/удалённо),От 3 до 6 лет,200000 RUR,Москва
Ведущий программист C/C++ (разработка и поддержка серверного приложения),От 3 до 6 лет,Не указана,Москва
Инженер-программист микроконтроллеров (C++),От 1 года до 3 лет,Не указана,Казань
Lead QA (МТС Маркетолог),От 3 до 6 лет,Не указана,Москва
Frontend-разработчик (middle/senior),От 3 до 6 лет,150000 RUR,Санкт-Петербург
IT Project Manager (удаленно),От 3 до 6 лет,60000 RUR,Москва
Frontend разработчик (React),От 3 до 6 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Python-разработчик (middle),От 1 года до 3 лет,Не указана,Москва
Руководитель продукта,От 1 года до 3 лет,Не указана,Москва
Python developer (MTS AI),От 3 до 6 лет,Не указана,Москва
Ведущий продуктовый аналитик в Loveplanet,Нет опыта,Не указана,Москва
Middle python developer (RPA),От 1 года до 3 лет,Не указана,Москва
Senior Backend developer,От 3 до 6 лет,230000 RUR,Санкт-Петербург
Системный инженер,От 3 до 6 лет,200000 RUR,Москва
Python developer,От 3 до 6 лет,150000 RUR,Самара
Инженер по тестированию ПО (Middle),От 1 года до 3 лет,96000 RUR,Калининград
Программист Python (Middle),От 1 года до 3 лет,100000 RUR,Москва
Инженер технического мониторинга,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Python-разработчик (Senior),От 3 до 6 лет,150000 RUR,Тюмень
Компьютерный лингвист / Лингвист-разработчик,От 1 года до 3 лет,None RUR,Новосибирск
Аналитик в разработку,От 3 до 6 лет,Не указана,Ижевск
Старший инженер технической поддержки и тестирования сетевого оборудования,От 3 до 6 лет,250000 RUR,Москва
Java разработчик Службы внутреннего аудита,От 3 до 6 лет,Не указана,Москва
Go-разработчик в Телеметрию,От 1 года до 3 лет,Не указана,Новосибирск
Middle Python Developer,От 3 до 6 лет,Не указана,Москва
Инженер программного (серверного) тестирования,От 1 года до 3 лет,100000 RUR,Москва
QA Engineer Middle (+автоматизация на Python),От 3 до 6 лет,Не указана,Москва
Системный администратор Linux,От 1 года до 3 лет,200000 RUR,Москва
Ведущий разработчик баз данных Oracle,От 3 до 6 лет,Не указана,Москва
Программист C++/Python,От 3 до 6 лет,250000 RUR,Новосибирск
IT-Специалист технической поддержки,Нет опыта,60000 RUR,Москва
Программист-тестировщик (отдел автотестирования),От 1 года до 3 лет,46000 RUR,Кострома
Программист ABAP/SAP (удаленный формат работы),От 1 года до 3 лет,180000 RUR,Москва
Middle Специалист технической поддержки 2 линия (support),От 1 года до 3 лет,Не указана,Москва
Инженер аналитического управления,От 1 года до 3 лет,102000 RUR,Москва
Computer Vision Engineer,От 1 года до 3 лет,Не указана,Нижний Новгород
Программист фронтэнда (JavaScript) и Python,От 1 года до 3 лет,50000 RUR,Нижний Новгород
Разработчик DWH,От 1 года до 3 лет,Не указана,Москва
ML developer [Junior],От 1 года до 3 лет,Не указана,Омск
Java-разработчик,От 3 до 6 лет,Не указана,Москва
Backend разработчик NodeJS (middle),От 1 года до 3 лет,150000 RUR,Москва
Разработчик Python (Middle),От 1 года до 3 лет,90000 RUR,Санкт-Петербург
Python разработчик (Middle),От 1 года до 3 лет,Не указана,Казань
Power BI-разработчик,От 1 года до 3 лет,150000 RUR,Москва
Технический писатель в Runtime Cloud,От 3 до 6 лет,Не указана,Абакан
PHP Developer (со знанием инфраструктуры),От 3 до 6 лет,118440 RUR,Москва
QA Automation Engineer,От 1 года до 3 лет,80000 RUR,Ульяновск
Разработчик PIX BI,От 3 до 6 лет,Не указана,Москва
Backend developer (Middle / Senior),От 1 года до 3 лет,Не указана,Петрозаводск
Python разработчик,От 3 до 6 лет,Не указана,Москва
Программист С++,От 1 года до 3 лет,Не указана,Москва
DevOps инженер,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,None RUR,Брянск
Системный инженер \ DevOps,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python backend developer,От 3 до 6 лет,Не указана,Москва
Middle PHP Developer,От 3 до 6 лет,150000 RUR,Санкт-Петербург
DevOps - разработчик ПО,От 1 года до 3 лет,200000 RUR,Москва
Scala Software Engineer,От 3 до 6 лет,Не указана,Москва
DevOps-инженер в команду облака,От 1 года до 3 лет,Не указана,Москва
Системный аналитик в продуктовую IT-компанию,От 3 до 6 лет,100000 RUR,Москва
Системный администратор / DevOps,От 1 года до 3 лет,Не указана,Новокузнецк
Fullstack-разработчик,От 3 до 6 лет,Не указана,Москва
Middle С# разработчик (команда SberWorks),Более 6 лет,Не указана,Москва
Threat Hunter - Network Attacks,От 3 до 6 лет,Не указана,Москва
Разработчик С++,От 1 года до 3 лет,Не указана,Нижний Новгород
Системный программист,От 1 года до 3 лет,120000 RUR,Санкт-Петербург
Инженер-тестировщик/сетевой инженер,От 1 года до 3 лет,Не указана,Пермь
Python/GO developer,От 1 года до 3 лет,Не указана,Москва
"Middle Backend Developer (Python, PostgreSQL, Django), отдел ИРО",От 1 года до 3 лет,Не указана,Москва
Python Developer - Cryptocurrency Trading Algorithms (Remote Job),От 3 до 6 лет,1000 USD,Москва
Технический писатель в Runtime Cloud,От 3 до 6 лет,Не указана,Орск
Программист-электроник,От 3 до 6 лет,100000 RUR,Красноярск
Middle C++ разработчик,От 1 года до 3 лет,Не указана,Москва
Программист компьютерного зрения,От 1 года до 3 лет,Не указана,Москва
Python Developer,От 3 до 6 лет,Не указана,Санкт-Петербург
Product manager,От 3 до 6 лет,None RUR,Москва
Продуктовый аналитик в Яндекс ID,От 1 года до 3 лет,Не указана,Москва
Разработчик (Python) систем целевого маркетинга,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,None RUR,Казань
Преподаватель программирования в онлайн школу,От 1 года до 3 лет,50000 RUR,Москва
BigData / DWH разработчик,От 3 до 6 лет,Не указана,Москва
Программист JS,От 1 года до 3 лет,125000 RUR,Уфа
"Full Stack Web-разработчик (ASP.NET, JS)",От 1 года до 3 лет,Не указана,Москва
DevOps-инженер,От 3 до 6 лет,Не указана,Москва
Python разработчик,От 3 до 6 лет,Не указана,Новосибирск
Senior Frontend Developer (JS/TS/React),От 3 до 6 лет,Не указана,Москва
Middle/Senior Python разработчик,От 1 года до 3 лет,Не указана,Москва
Руководитель отдела системного администрирования ЦОД,От 1 года до 3 лет,140000 RUR,Санкт-Петербург
Специалист по нейросетям с техническим уклоном (GameDev),От 1 года до 3 лет,Не указана,Москва
Старший аналитик данных,От 3 до 6 лет,Не указана,Москва
Руководитель тестирования (Руководитель Направления контроля качества цифровых продуктов),Более 6 лет,Не указана,Москва
Middle DevOps Engineer,От 3 до 6 лет,Не указана,Москва
Ведущий разработчик онлайн-курсов,От 1 года до 3 лет,Не указана,Москва
"Python developer (проект с ""0"")",От 3 до 6 лет,Не указана,Москва
"Старший Data Scientist, Фреш",От 1 года до 3 лет,Не указана,Москва
Маркетинговый аналитик,От 1 года до 3 лет,Не указана,Москва
Инженер-программист микроконтроллеров,От 1 года до 3 лет,Не указана,Казань
Python - разработчик,От 1 года до 3 лет,Не указана,Москва
Data Engineer в направление HR-аналитики,От 1 года до 3 лет,Не указана,Москва
Инженер-программист,Нет опыта,None RUR,Москва
Продуктовый аналитик,От 1 года до 3 лет,Не указана,Москва
Программист Python (FRONTOL),От 3 до 6 лет,Не указана,Москва
"Middle Python разработчик, Группа разработки приложений",От 3 до 6 лет,Не указана,Москва
Python Developer senior,От 3 до 6 лет,None RUR,Москва
Performance Quality Engineer (KasperskyOS),От 3 до 6 лет,Не указана,Москва
Ведущий программист,От 3 до 6 лет,250000 RUR,Екатеринбург
Младший DWH разработчик,Нет опыта,Не указана,Москва
Middle Python-разработчик,От 1 года до 3 лет,140000 RUR,Москва
"Разработчик DWH, ETL",От 1 года до 3 лет,Не указана,Москва
QA Automation (Senior),От 3 до 6 лет,None RUR,Москва
Аналитик,От 1 года до 3 лет,140000 RUR,Москва
C++ разработчик,От 3 до 6 лет,None RUR,Москва
DevOps Specialist,От 3 до 6 лет,Не указана,Москва
Senior product analyst (remote),От 3 до 6 лет,Не указана,Москва
"Fullstack developer (JS, Python)",От 3 до 6 лет,Не указана,Москва
Ведущий разработчик (Python),От 3 до 6 лет,130000 RUR,Москва
DevOps инженер,От 1 года до 3 лет,139000 RUR,Казань
Инженер внедрения,Более 6 лет,None RUR,Москва
Специалист группы по средствам разработки ПО (сфера разработки ОС Linux),От 1 года до 3 лет,Не указана,Москва
Data Scientist middle / Специалист по машинному обучению,От 3 до 6 лет,200000 RUR,Москва
Программист/разработчик RPA (стажер/junior),Нет опыта,35000 RUR,Магнитогорск
Технический писатель в Runtime Cloud,От 3 до 6 лет,Не указана,Новороссийск
Программист C++,От 1 года до 3 лет,Не указана,Москва
Python Developer,От 3 до 6 лет,Не указана,Москва
Программист (ведущий специалист отдела развития межведомственного электронного взаимодействия),Нет опыта,34000 RUR,Нижний Новгород
Data Analyst,От 1 года до 3 лет,None RUR,Москва
Системный программист С/С++ (разработка ОС Аврора),От 1 года до 3 лет,Не указана,Санкт-Петербург
Системный архитектор Linux \ Python-программист,От 1 года до 3 лет,Не указана,Санкт-Петербург
Консультант по трансформации бизнеса,От 1 года до 3 лет,Не указана,Санкт-Петербург
Back-end разработчик (Python),От 3 до 6 лет,Не указана,Пермь
Frontend developer (react),От 3 до 6 лет,Не указана,Санкт-Петербург
Программист Python,От 3 до 6 лет,None RUR,Санкт-Петербург
DevOps-инженер,От 3 до 6 лет,Не указана,Москва
Аналитик 1С,От 1 года до 3 лет,Не указана,Москва
Руководитель группы аналитики взыскания,От 3 до 6 лет,Не указана,Москва
QA Automation Engineer (Python),От 1 года до 3 лет,Не указана,Москва
Инженер прикладных информационных систем,От 1 года до 3 лет,Не указана,Санкт-Петербург
Архитектор баз данных / Программист SQL,От 1 года до 3 лет,Не указана,Санкт-Петербург
Data Engineer,От 1 года до 3 лет,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Челябинск
Middle Node.JS developer / Back-end developer,Нет опыта,Не указана,Санкт-Петербург
Python developer (ML-сервисы),От 3 до 6 лет,Не указана,Санкт-Петербург
DataScience Middle +,От 1 года до 3 лет,Не указана,Санкт-Петербург
Senior QA инженер (fintech),От 3 до 6 лет,Не указана,Москва
Системный инженер / Data инженер,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Программист,От 1 года до 3 лет,60000 RUR,Екатеринбург
Middle BI разработчик [Платформа наблюдаемости],От 3 до 6 лет,Не указана,Москва
Python Developer (Удалённо),Более 6 лет,250000 RUR,Нижний Новгород
Младший инженер по качеству данных (DQ)/Стажер,Нет опыта,35000 RUR,Москва
Deep Learning Engineer,От 1 года до 3 лет,Не указана,Новосибирск
Системный администратор,От 3 до 6 лет,120000 RUR,Воронеж
"Front-end Tech Lead (React, Typescript) удаленно",От 3 до 6 лет,Не указана,Москва
Разработчик Python FastAPI,От 1 года до 3 лет,80000 RUR,Москва
ETL-разработчик,От 3 до 6 лет,None RUR,Москва
Разработчик PostgreSQL,От 3 до 6 лет,150000 RUR,Москва
Программист Golang (СУБД),От 1 года до 3 лет,Не указана,Москва
Backend developer (python),От 1 года до 3 лет,Не указана,Новосибирск
Data Scientist,Более 6 лет,Не указана,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Москва
Руководитель проектов,От 3 до 6 лет,Не указана,Москва
Python Middle/Senior developer,От 3 до 6 лет,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Программист баллистико-навигационного обеспечения,От 1 года до 3 лет,Не указана,Москва
Data scientist (Модельные риски корпоративных клиентов),От 1 года до 3 лет,Не указана,Москва
Java-разработчик (работа в офисе в Академгородке),От 1 года до 3 лет,100000 RUR,Новосибирск
Инженер-программист микроконтроллеров (C++),От 1 года до 3 лет,Не указана,Москва
Разработчик full stack,От 1 года до 3 лет,Не указана,Москва
Специалист технической поддержки прикладного программного обеспечения,От 1 года до 3 лет,60000 RUR,Челябинск
Go-разработчик в Телеметрию,От 1 года до 3 лет,Не указана,Самара
Frontend Architect (web application),Более 6 лет,None EUR,Москва
Python-разработчик,От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Самара
Java-разработчик (Инвестиционный бизнес),Нет опыта,Не указана,Москва
Маркетинговый аналитик,От 1 года до 3 лет,Не указана,Новосибирск
Data-инженер (DWH) / Разработчик SQL + Python,От 3 до 6 лет,Не указана,Москва
Golang разработчик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Программист в отдел разработки,От 3 до 6 лет,110000 RUR,Калининград
Middle support specialist,От 1 года до 3 лет,Не указана,Москва
Linux инженер (R&D RuPost),От 3 до 6 лет,Не указана,Москва
Computer vision / Machine learning (remote),От 3 до 6 лет,Не указана,Москва
Senior Backend Node.js Developer (сrypto),От 3 до 6 лет,300000 RUR,Москва
Продакт менеджер,От 3 до 6 лет,Не указана,Москва
Python Developer (Middle+),От 3 до 6 лет,Не указана,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Москва
Администратор AD/ DNS,От 3 до 6 лет,Не указана,Санкт-Петербург
Разработчик сценариев роботизации (Junior RPA Developer),От 1 года до 3 лет,Не указана,Уфа
Data engineer,От 3 до 6 лет,Не указана,Новосибирск
Разработчик на Python,От 3 до 6 лет,Не указана,Казань
Системный программист в команду адаптации ОС Аврора,От 1 года до 3 лет,Не указана,Москва
Senior Frontend Developer (Tardis team),От 3 до 6 лет,Не указана,Санкт-Петербург
"Разработчик SQL, Python + (дата инженер)",От 3 до 6 лет,200000 RUR,Москва
Инженер (программист для БПЛА),От 3 до 6 лет,80000 RUR,Санкт-Петербург
Python разработчик,От 3 до 6 лет,Не указана,Казань
Программист,От 1 года до 3 лет,150000 RUR,Москва
DevOps инженер,От 3 до 6 лет,250000 RUR,Новосибирск
C++ developer,От 3 до 6 лет,Не указана,Москва
Аналитик-разработчик в производственное направление Лавки,От 1 года до 3 лет,Не указана,Санкт-Петербург
BI-аналитик данных в Спорт Тех,От 1 года до 3 лет,None RUR,Санкт-Петербург
Специалист сопровождения информационных систем / программист,Нет опыта,33000 RUR,Иркутск
Product Owner,Более 6 лет,220000 RUR,Санкт-Петербург
Бизнес-аналитик (финансовая отчетность),От 3 до 6 лет,Не указана,Москва
TeamLead команды разработки (python),От 3 до 6 лет,Не указана,Москва
Стажер-разработчик PHP,От 1 года до 3 лет,15000 RUR,Ульяновск
Администратор инфраструктуры виртуализации OpenStack,От 3 до 6 лет,Не указана,Москва
Senior QA Manual,От 3 до 6 лет,Не указана,Москва
Java-разработчик,От 3 до 6 лет,Не указана,Москва
Python-разработчик для модуля поиска подмножеств в реальном времени,От 3 до 6 лет,100000 RUR,Москва
Python developer,От 3 до 6 лет,132000 RUR,Калининград
Разработчик/инженер AI-инфраструктуры,Нет опыта,Не указана,Челябинск
Программист-стажер 1С,Нет опыта,Не указана,Екатеринбург
Специалист по информационной безопасности,От 1 года до 3 лет,Не указана,Москва
SQL разработчик,От 3 до 6 лет,Не указана,Москва
Go Developer,От 3 до 6 лет,None RUR,Пермь
Младший бизнес-аналитик в домен Офис больших данных (стажер),Нет опыта,35000 RUR,Москва
Младший специалист сопровождения моделей машинного обучения (MLOps),От 1 года до 3 лет,Не указана,Москва
Data Scientist/Python-разработчик,От 1 года до 3 лет,Не указана,Москва
Back-end разработчик Python,От 3 до 6 лет,200000 RUR,Москва
Аналитик-исследователь киберугроз,От 1 года до 3 лет,Не указана,Москва
Python Developer,От 3 до 6 лет,300000 RUR,Санкт-Петербург
Data Scientist LLM (Global markets),От 1 года до 3 лет,Не указана,Москва
Аналитик валидации уязвимостей,От 1 года до 3 лет,Не указана,Москва
Backend-разработчик (Golang),От 1 года до 3 лет,Не указана,Челябинск
IT-рекрутер,От 3 до 6 лет,Не указана,Санкт-Петербург
Data Engineer (Middle),От 3 до 6 лет,None RUR,Москва
Аналитик направления Кино,От 3 до 6 лет,Не указана,Санкт-Петербург
Product Analyst,От 3 до 6 лет,Не указана,Санкт-Петербург
Системный администратор,От 3 до 6 лет,100000 RUR,Санкт-Петербург
Инженер Linux,От 1 года до 3 лет,Не указана,Хабаровск
Веб-разработчик (Web-developer),От 1 года до 3 лет,Не указана,Москва
С++ разработчик (создание русской версии ChatGPT),От 3 до 6 лет,Не указана,Москва
Разработчик Python (Computer Vision),От 1 года до 3 лет,Не указана,Москва
Python Backend Developer,От 3 до 6 лет,Не указана,Казань
Системный аналитик (программно-аппаратный комплекс),От 1 года до 3 лет,Не указана,Ульяновск
Team Lead of Analytics (Remote),Более 6 лет,5000 USD,Москва
Python developer / django,От 3 до 6 лет,Не указана,Москва
Middle Python Developer,От 1 года до 3 лет,140000 RUR,Санкт-Петербург
Java-разработчик в IT лабораторию,От 3 до 6 лет,Не указана,Москва
Python Developer (VK Реклама),От 3 до 6 лет,Не указана,Москва
Инженер-программист,Нет опыта,Не указана,Зеленоград
Программист,От 1 года до 3 лет,30000 RUR,Азов
Дата инженер \ Data Engineer AI (удаленно),От 3 до 6 лет,220000 RUR,Москва
Инженер-программист,От 1 года до 3 лет,Не указана,Смоленск
Техлид направления разработки диагностического ПО,От 3 до 6 лет,Не указана,Санкт-Петербург
Team Lead (SberLinux),Более 6 лет,350000 RUR,Москва
Middle Back-end разработчик мобильного приложения,От 1 года до 3 лет,None RUR,Москва
C++ developer,Более 6 лет,170000 RUR,Омск
Senior Backend разработчик игр,Более 6 лет,5000 USD,Москва
Deep Learning Engineer (NLP),От 1 года до 3 лет,Не указана,Москва
Менеджер веб-проектов,От 1 года до 3 лет,70000 RUR,Санкт-Петербург
Специалист по тестированию (проект мобильный ЛК),От 1 года до 3 лет,Не указана,Москва
Middle+/Senior backend разработчик,От 1 года до 3 лет,200000 RUR,Москва
Data Scientist,От 3 до 6 лет,192000 RUR,Москва
Backend Developer,От 1 года до 3 лет,80000 RUR,Барнаул
Data Engineer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Программист-стажер в Звенигород,Нет опыта,10000 RUR,Звенигород
Ведущий разработчик отдела интеграции (python),От 3 до 6 лет,Не указана,Москва
Разработчик бизнес-систем,От 1 года до 3 лет,100000 RUR,Владивосток
Fullstack разработчик C# (включая мобильные приложения),От 1 года до 3 лет,70000 RUR,Санкт-Петербург
Product Analyst,От 3 до 6 лет,Не указана,Москва
Портфельный менеджер,От 1 года до 3 лет,Не указана,Москва
Разработчик технологий real-time,От 1 года до 3 лет,Не указана,Москва
Data инженер / Разработчик баз данных,От 3 до 6 лет,Не указана,Санкт-Петербург
"Программист javascript (3d WebGL), удаленно",Более 6 лет,250000 RUR,Москва
Support specialist 2я-линия (Middle/senior),От 1 года до 3 лет,Не указана,Москва
IT Researcher / Sourcer,От 1 года до 3 лет,Не указана,Омск
Python developer,От 1 года до 3 лет,Не указана,Екатеринбург
Senior Python developer [Экомониторинг],От 3 до 6 лет,Не указана,Москва
PHP-разработчик (Middle+/Senior),Более 6 лет,None RUR,Краснодар
Дежурный инженер по техподдержке телекоммуникационного биллинга,От 1 года до 3 лет,None RUR,Москва
Разработчик SQL / Инженер данных,От 3 до 6 лет,Не указана,Москва
"Разработчик С#, Логистика, Системы оперирования точкой ПВЗ",От 1 года до 3 лет,Не указана,Москва
Специалист 2 линии технической поддержки ПО (IT),От 3 до 6 лет,Не указана,Иннополис
DevOps-инженер,От 1 года до 3 лет,150000 RUR,Москва
Сетевой инженер,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Unreal Engine Developer,От 1 года до 3 лет,Не указана,Москва
Программист-разработчик,От 1 года до 3 лет,Не указана,Череповец
Программист Python,От 1 года до 3 лет,None RUR,Москва
Junior Python разработчик,От 1 года до 3 лет,Не указана,Санкт-Петербург
IT Researcher / Sourcer,От 1 года до 3 лет,Не указана,Красноярск
Бизнес/системный аналитик (ArchOps) [Governance],От 3 до 6 лет,Не указана,Москва
Руководитель группы разработки (Team Lead),От 3 до 6 лет,Не указана,Санкт-Петербург
Product Owner HR Services Application,От 3 до 6 лет,Не указана,Москва
Data Engineer,От 1 года до 3 лет,Не указана,Казань
Разработчик (back-end),От 3 до 6 лет,Не указана,Москва
Аналитик (Биллинг),От 3 до 6 лет,Не указана,Москва
Ведущий инженер по сопровождению,От 3 до 6 лет,Не указана,Москва
Data engineer,От 3 до 6 лет,Не указана,Санкт-Петербург
Разработчик отчетности SQL (Отдел анализа продаж и бизнес-статистики),От 3 до 6 лет,Не указана,Москва
Консультант-разработчик RPA,От 1 года до 3 лет,Не указана,Москва
Тестировщик программного обеспечения,От 1 года до 3 лет,50000 RUR,Новосибирск
Java разработчик (middle),От 3 до 6 лет,Не указана,Москва
Аналитик BI (разработчик),От 1 года до 3 лет,Не указана,Москва
Старший инженер мониторинга,От 3 до 6 лет,Не указана,Москва
Программист-исследователь в команду e-commerce,От 1 года до 3 лет,Не указана,Москва
Python Developer,От 3 до 6 лет,Не указана,Москва
DevOps Engineer,От 3 до 6 лет,Не указана,Москва
Junior DevOps Engineer/ Младший DevOps инженер (TATLIN.FLEX),Нет опыта,Не указана,Санкт-Петербург
Разработчик С/С++,От 3 до 6 лет,None RUR,Москва
Backend разработчик,От 3 до 6 лет,Не указана,Москва
Разработчик Greenplum/Data Engineer,От 1 года до 3 лет,Не указана,Москва
Начальник управления автоматизации банковских технологий / Руководитель IT-управления,От 1 года до 3 лет,200000 RUR,Москва
Инженер-программист / Тестировщик базовых станций [Лабораторный стенд],От 1 года до 3 лет,Не указана,Москва
"Старший релиз-инженер, Платформа",От 3 до 6 лет,Не указана,Москва
Senior backend developer,От 3 до 6 лет,220000 RUR,Тюмень
Java / Scala Разработчик,От 1 года до 3 лет,Не указана,Москва
Инженер-программист встроенного ПО С++/ Embedded Developer,От 3 до 6 лет,200000 RUR,Москва
Middle Python developer,От 3 до 6 лет,Не указана,Москва
Data Scientist (инновационные продукты),От 1 года до 3 лет,Не указана,Москва
Backend Developer for AI-Powered Dermatology App,От 3 до 6 лет,250000 RUR,Москва
"Разработчик Python (Django, DRF)",От 3 до 6 лет,150000 RUR,Москва
Golang разработчик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python разработчик в команду облака,От 3 до 6 лет,Не указана,Москва
Программист С++,От 3 до 6 лет,170000 RUR,Екатеринбург
Разработчик С++,От 1 года до 3 лет,Не указана,Казань
Разработчик BI / BI аналитик,От 1 года до 3 лет,Не указана,Москва
Инженер-программист в Банк,От 1 года до 3 лет,100000 RUR,Челябинск
Ведущий занятий/преподаватель по программированию,Нет опыта,None RUR,Великий Новгород
"Technical Support (L2, L3)",От 1 года до 3 лет,None EUR,Москва
QA-инженер по автоматизации тестирования кластерной СУБД,От 3 до 6 лет,180000 RUR,Москва
AppSec / Pentester / Специалист по анализу приложений,От 1 года до 3 лет,None RUR,Москва
QA Automation Engineer (Python/Golang),От 3 до 6 лет,Не указана,Москва
C# разработчик (Математическая оптимизация),От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик интеграционных решений чат-бот (Python),От 3 до 6 лет,Не указана,Москва
Python-разработчик,От 1 года до 3 лет,Не указана,Чебоксары
Ведущий инженер-программист бригады СНК (средств наземного контроля) ПБ ЭС,От 3 до 6 лет,120000 RUR,Санкт-Петербург
Fullstack разработчик (Python + JavaScript),От 3 до 6 лет,Не указана,Москва
Technical Support Engineer / Инженер технической поддержки торговой платформы,Нет опыта,70000 RUR,Москва
Java Developer (middle),От 3 до 6 лет,Не указана,Москва
Руководитель группы тестирования,От 3 до 6 лет,Не указана,Москва
Инженер сопровождения,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python разработчик,От 3 до 6 лет,Не указана,Томск
RPA-разработчик (Lead),От 3 до 6 лет,Не указана,Нижний Новгород
Инженер-программист,От 3 до 6 лет,150000 RUR,Москва
Инженер-программист АСУ ТП (ОП г. Брянск),Нет опыта,40000 RUR,Брянск
ETL разработчик,От 1 года до 3 лет,Не указана,Москва
