name,experience,salary,region
Python-разработчик,От 1 года до 3 лет,Не указана,Москва
Remote Python Developer,От 3 до 6 лет,Не указана,Москва
Data инженер,От 3 до 6 лет,250000 RUR,Санкт-Петербург
Python Middle Developer,От 1 года до 3 лет,200000 RUR,Москва
Senior Python Developer,Более 6 лет,400000 RUR,Москва
"Frontend Developer (Js, VueJs)",От 1 года до 3 лет,40000 RUR,Санкт-Петербург
Python Backend Developer,От 3 до 6 лет,Не указана,Москва
Инженер по тестированию,От 1 года до 3 лет,40000 RUR,Омск
Middle backend developer,От 1 года до 3 лет,None RUR,Москва
Программист Python,От 3 до 6 лет,3000 USD,Москва
Computer Vision Engineer (intern/junior),Нет опыта,Не указана,Челябинск
"Разработчик Python, Направление базовой инфраструктуры",От 1 года до 3 лет,Не указана,Москва
Инженер-программист,Более 6 лет,180000 RUR,Москва
Python разработчик (junior+/middle),От 1 года до 3 лет,Не указана,Москва
Python / Django Developer (Офис),От 1 года до 3 лет,None RUR,Краснодар
Бизнес-аналитик,Нет опыта,Не указана,Москва
Trainee data analyst,Нет опыта,Не указана,Москва
Разработчик (Data engineer/ETL Engineer),От 1 года до 3 лет,None RUR,Санкт-Петербург
Middle Frontend-stack,От 3 до 6 лет,Не указана,Москва
Python Developer (Django),От 3 до 6 лет,Не указана,Москва
Middle/Middle+ Backend разработчик (Python),От 3 до 6 лет,130000 RUR,Москва
Аналитик направления Кино,От 3 до 6 лет,Не указана,Москва
Разработчик игр на ПК на языке C++,От 1 года до 3 лет,70000 RUR,Екатеринбург
Senior DE+ETL developer,От 3 до 6 лет,Не указана,Москва
Инженер по тестированию (младшая школа),От 3 до 6 лет,Не указана,Москва
Разработчик SQL (OLAP),От 1 года до 3 лет,Не указана,Екатеринбург
Python разработчик fullstack,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Python Developer (Bookbox),От 1 года до 3 лет,Не указана,Москва
Программист-робототехник,От 3 до 6 лет,350000 RUR,Санкт-Петербург
Руководитель управления разработки программного обеспечения,От 3 до 6 лет,Не указана,Москва
Аналитик в команду внедрения ботов (со знанием Python),От 1 года до 3 лет,Не указана,Москва
Backend разработчик Python (Django/ DRF),От 3 до 6 лет,150000 RUR,Москва
"QA Engineer (middle, backend)",От 3 до 6 лет,Не указана,Москва
Frontend-разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
Главный специалист,От 1 года до 3 лет,Не указана,Тюмень
Ресечер,Нет опыта,Не указана,Санкт-Петербург
Разработчик БПЛА,От 1 года до 3 лет,200000 RUR,Москва
Инженер-программист,От 1 года до 3 лет,120000 RUR,Москва
Junior Java/DevOps/SRE,От 1 года до 3 лет,Не указана,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Москва
QA-специалист,От 3 до 6 лет,Не указана,Самара
Python Developer,От 3 до 6 лет,Не указана,Москва
Математик-программист (Python),От 3 до 6 лет,Не указана,Санкт-Петербург
Backend разработчик (.Net),От 1 года до 3 лет,90000 RUR,Брянск
Python developer,От 1 года до 3 лет,Не указана,Новосибирск
QA Engineer,От 3 до 6 лет,None RUR,Санкт-Петербург
Разработчик Python3,От 1 года до 3 лет,Не указана,Москва
Python разработчик (трайб CDO Office),От 1 года до 3 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Рязань
Разработчик Python (backend),От 1 года до 3 лет,270000 RUR,Зеленоград
Python разработчик,От 1 года до 3 лет,Не указана,Ярославль
Старший специалист по тестированию,От 1 года до 3 лет,Не указана,Москва
Прикладной программист в телекоммуникационную компанию,Нет опыта,60000 RUR,Владивосток
Backend Developer (Python/Django),От 1 года до 3 лет,Не указана,Москва
Программист Python (Middle),От 3 до 6 лет,150000 RUR,Москва
BI-разработчик,От 1 года до 3 лет,110000 RUR,Москва
Backend-разработчик в проект по AI для Web3 / DeFi,От 3 до 6 лет,200000 RUR,Москва
"Аналитик - разработчик, удаленно",От 1 года до 3 лет,100000 RUR,Москва
"CV инженер (ML, компьютерное зрение)",От 1 года до 3 лет,Не указана,Казань
Middle Python developer,От 1 года до 3 лет,150000 RUR,Санкт-Петербург
Full-stack разработчик,От 1 года до 3 лет,Не указана,Москва
Разработчик Python (Junior/Middle)(аккредитованная ИТ-компания),От 1 года до 3 лет,40000 RUR,Вологда
"PHP-программист (внутренний проект, удаленно)",От 1 года до 3 лет,65000 RUR,Москва
Инженер по тестированию,От 1 года до 3 лет,Не указана,Москва
Python developer,От 1 года до 3 лет,Не указана,Москва
ML Engineer/Data Scientist,От 1 года до 3 лет,Не указана,Санкт-Петербург
Backend разработчик программист,От 1 года до 3 лет,60000 RUR,Курган
Программист микроконтроллеров / Embedded Developer,От 1 года до 3 лет,Не указана,Москва
Middle Python developer (Django),От 3 до 6 лет,Не указана,Санкт-Петербург
Junior аналитик данных,От 1 года до 3 лет,Не указана,Екатеринбург
Инженер-программист,Нет опыта,30000 RUR,Хабаровск
Разработчик C#,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Калининград
Front-end React-разработчик,От 1 года до 3 лет,Не указана,Москва
HR-аналитик / Аналитик данных в направлении HR,От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик,От 1 года до 3 лет,Не указана,Нижний Новгород
Системный администратор Linux / DevOps,От 3 до 6 лет,Не указана,Москва
"Разработчик Python, Платформа, Базовые сервисы",От 3 до 6 лет,Не указана,Москва
Backend Developer,От 1 года до 3 лет,80000 RUR,Красноярск
Программист,От 1 года до 3 лет,70000 RUR,Тюмень
Разработчик (junior+),От 1 года до 3 лет,Не указана,Екатеринбург
Инженер-программист в отдел мониторинга сети,От 1 года до 3 лет,100000 RUR,Уфа
Rust developer,Нет опыта,2000 EUR,Санкт-Петербург
Разработчик банковского ПО,От 3 до 6 лет,115000 RUR,Челябинск
Junior Java developer/DevOps,От 1 года до 3 лет,170000 RUR,Москва
Golang разработчик,От 1 года до 3 лет,Не указана,Москва
"Разработчик C++, Отдел автоматизации конвейеров",От 3 до 6 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Самара
Backend Developer,От 1 года до 3 лет,80000 RUR,Омск
"Разработчик Python, Маркетплейс, Цены и анализ конкурентов",От 1 года до 3 лет,Не указана,Москва
"Backend разработчик Middle +, Senior (Python)",От 3 до 6 лет,200000 RUR,Москва
Project/Product Manager,От 1 года до 3 лет,100000 RUR,Москва
RTL Designer / RTL Developer,Более 6 лет,250000 RUR,Санкт-Петербург
Технический писатель (удаленный формат),От 1 года до 3 лет,Не указана,Москва
Data инженер,От 3 до 6 лет,250000 RUR,Казань
Middle Backend Разработчик (Python),От 1 года до 3 лет,220000 RUR,Москва
